NODE2	<AVG delay: 322572 us>	< Energy: 22434507440>	<PRR: 98.100 %>	<Collision ratio: 51.500 %>
NODE3	<AVG delay: 660969 us>	< Energy: 20309601120>	<PRR: 93.200 %>	<Collision ratio: 101.500 %>
NODE4	<AVG delay: 1634495 us>	< Energy: 24304284800>	<PRR: 92.500 %>	<Collision ratio: 171.400 %>
NODE5	<AVG delay: 2498863 us>	< Energy: 19784813760>	<PRR: 87.800 %>	<Collision ratio: 243.200 %>
NODE6	<AVG delay: 2253328 us>	< Energy: 22323010800>	<PRR: 84.700 %>	<Collision ratio: 110.100 %>
NODE7	<AVG delay: 117911 us>	< Energy: 23859006480>	<PRR: 97.200 %>	<Collision ratio: 4.900 %>
NODE8	<AVG delay: 875579 us>	< Energy: 18998233680>	<PRR: 94.900 %>	<Collision ratio: 145.500 %>
NODE9	<AVG delay: 1430447 us>	< Energy: 24120450800>	<PRR: 94.400 %>	<Collision ratio: 151.500 %>
NODE10	<AVG delay: 6050102 us>	< Energy: 29535693040>	<PRR: 92.100 %>	<Collision ratio: 452.800 %>
NODE11	<AVG delay: 3460382 us>	< Energy: 22867463600>	<PRR: 86.000 %>	<Collision ratio: 361.400 %>
NODE12	<AVG delay: 6344811 us>	< Energy: 18873401120>	<PRR: 81.400 %>	<Collision ratio: 299.600 %>
NODE13	<AVG delay: 541041 us>	< Energy: 21670724720>	<PRR: 94.400 %>	<Collision ratio: 93.600 %>
NODE14	<AVG delay: 472015 us>	< Energy: 16477090320>	<PRR: 91.000 %>	<Collision ratio: 128.200 %>
NODE15	<AVG delay: 6450129 us>	< Energy: 31797848480>	<PRR: 91.900 %>	<Collision ratio: 543.100 %>
NODE16	<AVG delay: 4045583 us>	< Energy: 25353339120>	<PRR: 65.300 %>	<Collision ratio: 1026.500 %>
NODE17	<AVG delay: 4700741 us>	< Energy: 20244971600>	<PRR: 83.300 %>	<Collision ratio: 756.700 %>
NODE18	<AVG delay: 4035200 us>	< Energy: 21859980400>	<PRR: 79.900 %>	<Collision ratio: 266.700 %>
NODE19	<AVG delay: 1401898 us>	< Energy: 25456096800>	<PRR: 86.600 %>	<Collision ratio: 153.200 %>
NODE20	<AVG delay: 3126468 us>	< Energy: 22650510160>	<PRR: 87.000 %>	<Collision ratio: 459.800 %>
NODE21	<AVG delay: 4952305 us>	< Energy: 24224039120>	<PRR: 64.300 %>	<Collision ratio: 1317.200 %>
NODE22	<AVG delay: 4928487 us>	< Energy: 25063463840>	<PRR: 63.400 %>	<Collision ratio: 1365.000 %>
NODE23	<AVG delay: 11085529 us>	< Energy: 23428793760>	<PRR: 78.900 %>	<Collision ratio: 726.200 %>
NODE24	<AVG delay: 10183140 us>	< Energy: 19929167840>	<PRR: 76.900 %>	<Collision ratio: 369.300 %>
NODE25	<AVG delay: 2422925 us>	< Energy: 19776641040>	<PRR: 86.900 %>	<Collision ratio: 311.100 %>
NODE26	<AVG delay: 3916332 us>	< Energy: 26435826640>	<PRR: 85.500 %>	<Collision ratio: 398.800 %>
NODE27	<AVG delay: 9281166 us>	< Energy: 31387945760>	<PRR: 76.400 %>	<Collision ratio: 590.900 %>
NODE28	<AVG delay: 12007402 us>	< Energy: 24923861840>	<PRR: 74.400 %>	<Collision ratio: 753.100 %>
NODE29	<AVG delay: 12645297 us>	< Energy: 20623909440>	<PRR: 76.900 %>	<Collision ratio: 526.400 %>
NODE30	<AVG delay: 4488043 us>	< Energy: 19780561520>	<PRR: 61.300 %>	<Collision ratio: 301.700 %>
NODE31	<AVG delay: 2415915 us>	< Energy: 19937086560>	<PRR: 79.600 %>	<Collision ratio: 196.600 %>
NODE32	<AVG delay: 7496049 us>	< Energy: 18196541280>	<PRR: 65.000 %>	<Collision ratio: 171.800 %>
NODE33	<AVG delay: 4330198 us>	< Energy: 26142160400>	<PRR: 54.100 %>	<Collision ratio: 686.700 %>
NODE34	<AVG delay: 4289580 us>	< Energy: 21886627200>	<PRR: 75.300 %>	<Collision ratio: 181.500 %>
NODE35	<AVG delay: 4495639 us>	< Energy: 16657106880>	<PRR: 78.500 %>	<Collision ratio: 88.300 %>
NODE36	<AVG delay: 11437777 us>	< Energy: 19266286400>	<PRR: 36.700 %>	<Collision ratio: 106.800 %>
