packet id 001 loss!!!
packet id 002 delay: 124736
packet id 003 delay: 180520
packet id 004 delay: 101000
packet id 005 delay: 532960
packet id 006 delay: 121520
packet id 007 delay: 2125344
packet id 008 loss!!!
packet id 009 delay: 48840
packet id 010 delay: 599360
packet id 011 delay: 2214320
packet id 012 delay: 211320
packet id 013 delay: 56200
packet id 014 delay: 2956000
packet id 015 delay: 6206480
packet id 016 loss!!!
packet id 017 delay: 2547544
packet id 018 delay: 640680
packet id 019 delay: 8508240
packet id 020 delay: 746840
packet id 021 delay: 3679360
packet id 022 delay: 920840
packet id 023 delay: 1159480
packet id 024 delay: 87520
packet id 025 delay: 47520
packet id 026 delay: 510480
packet id 027 loss!!!
packet id 028 delay: 1989672
packet id 029 delay: 122920
packet id 030 delay: 10640648
packet id 031 delay: 1345376
packet id 032 delay: 2124712
packet id 033 delay: 400816
packet id 034 delay: 649720
packet id 035 delay: 2903672
packet id 036 delay: 4280384
packet id 037 loss!!!
packet id 038 delay: 79480
packet id 039 delay: 2573832
packet id 040 delay: 69880
packet id 041 delay: 2970800
packet id 042 loss!!!
packet id 043 delay: 611400
packet id 044 delay: 762368
packet id 045 delay: 408120
packet id 046 delay: 302392
packet id 047 delay: 1402888
packet id 048 delay: 1015160
packet id 049 delay: 78320
packet id 050 delay: 4708432
packet id 051 delay: 123040
packet id 052 delay: 138160
packet id 053 delay: 3156680
packet id 054 delay: 1646840
packet id 055 delay: 497600
packet id 056 delay: 287952
packet id 057 delay: 4103832
packet id 058 delay: 2022560
packet id 059 delay: 71040
packet id 060 loss!!!
packet id 061 delay: 773680
packet id 062 delay: 3552352
packet id 063 delay: 7152040
packet id 064 delay: 3049240
packet id 065 delay: 3706320
packet id 066 delay: 98520
packet id 067 delay: 69520
packet id 068 loss!!!
packet id 069 delay: 613480
packet id 070 delay: 1051808
packet id 071 delay: 1283904
packet id 072 delay: 124880
packet id 073 delay: 145880
packet id 074 loss!!!
packet id 075 delay: 1207000
packet id 076 delay: 1145272
packet id 077 delay: 1959640
packet id 078 delay: 2116448
packet id 079 delay: 129520
packet id 080 delay: 425720
packet id 081 delay: 4405832
packet id 082 delay: 598040
packet id 083 delay: 1148680
packet id 084 delay: 56880
packet id 085 delay: 3243920
packet id 086 delay: 136040
packet id 087 delay: 4096312
packet id 088 delay: 404840
packet id 089 delay: 407360
packet id 090 delay: 74960
packet id 091 delay: 1081832
packet id 092 delay: 6287760
packet id 093 delay: 1687880
packet id 094 delay: 1289240
packet id 095 delay: 938960
packet id 096 delay: 48520
packet id 097 delay: 524152
packet id 098 delay: 3271600
packet id 099 delay: 2351592
packet id 100 delay: 758160
packet id 101 delay: 214600
packet id 102 delay: 45520
packet id 103 delay: 84160
packet id 104 delay: 88440
packet id 105 delay: 55600
packet id 106 delay: 122520
packet id 107 delay: 98520
packet id 108 delay: 69520
packet id 109 delay: 44520
packet id 110 delay: 2060480
packet id 111 delay: 75520
packet id 112 delay: 41520
packet id 113 delay: 143440
packet id 114 delay: 1275680
packet id 115 delay: 858040
packet id 116 delay: 123000
packet id 117 delay: 1922760
packet id 118 delay: 435680
packet id 119 delay: 3494160
packet id 120 delay: 41520
packet id 121 delay: 64520
packet id 122 delay: 2778320
packet id 123 delay: 99520
packet id 124 delay: 2245240
packet id 125 loss!!!
packet id 126 delay: 2624280
packet id 127 delay: 101520
packet id 128 delay: 6095144
packet id 129 delay: 1036520
packet id 130 delay: 114520
packet id 131 delay: 43520
packet id 132 delay: 473360
packet id 133 delay: 91520
packet id 134 delay: 953080
packet id 135 delay: 139520
packet id 136 delay: 485280
packet id 137 delay: 41520
packet id 138 delay: 126880
packet id 139 delay: 1136640
packet id 140 delay: 135440
packet id 141 delay: 133040
packet id 142 delay: 299160
packet id 143 delay: 584720
packet id 144 delay: 2197000
packet id 145 delay: 294040
packet id 146 delay: 46680
packet id 147 delay: 6698072
packet id 148 delay: 304960
packet id 149 delay: 2010120
packet id 150 delay: 62520
packet id 151 delay: 2180784
packet id 152 delay: 41520
packet id 153 delay: 123520
packet id 154 delay: 250760
packet id 155 delay: 6841056
packet id 156 delay: 2034760
packet id 157 delay: 363400
packet id 158 loss!!!
packet id 159 delay: 180216
packet id 160 delay: 1053880
packet id 161 delay: 41520
packet id 162 delay: 2994240
packet id 163 delay: 370320
packet id 164 delay: 41520
packet id 165 delay: 203400
packet id 166 delay: 5516384
packet id 167 delay: 3443312
packet id 168 delay: 547560
packet id 169 delay: 5018160
packet id 170 delay: 1231240
packet id 171 delay: 485160
packet id 172 delay: 137792
packet id 173 delay: 1637160
packet id 174 delay: 2402840
packet id 175 delay: 79040
packet id 176 delay: 41520
packet id 177 delay: 366960
packet id 178 delay: 109520
packet id 179 delay: 1122320
packet id 180 delay: 130680
packet id 181 delay: 108040
packet id 182 delay: 106240
packet id 183 delay: 736960
packet id 184 loss!!!
packet id 185 loss!!!
packet id 186 delay: 2956984
packet id 187 delay: 609480
packet id 188 delay: 723680
packet id 189 delay: 121520
packet id 190 loss!!!
packet id 191 delay: 899280
packet id 192 delay: 129240
packet id 193 delay: 41520
packet id 194 delay: 42000
packet id 195 delay: 73520
packet id 196 delay: 8126392
packet id 197 delay: 291200
packet id 198 loss!!!
packet id 199 loss!!!
packet id 200 delay: 1584320
packet id 201 delay: 363520
packet id 202 delay: 137160
packet id 203 delay: 53520
packet id 204 delay: 41520
packet id 205 loss!!!
packet id 206 delay: 97160
packet id 207 loss!!!
packet id 208 delay: 908160
packet id 209 loss!!!
packet id 210 delay: 52520
packet id 211 delay: 550160
packet id 212 delay: 3444640
packet id 213 delay: 246840
packet id 214 delay: 2174912
packet id 215 delay: 907480
packet id 216 delay: 189280
packet id 217 delay: 109520
packet id 218 delay: 1717912
packet id 219 delay: 2071480
packet id 220 delay: 485000
packet id 221 delay: 2884888
packet id 222 delay: 41520
packet id 223 delay: 856760
packet id 224 loss!!!
packet id 225 loss!!!
packet id 226 loss!!!
packet id 227 loss!!!
packet id 228 delay: 1038088
packet id 229 delay: 137520
packet id 230 loss!!!
packet id 231 loss!!!
packet id 232 delay: 557920
packet id 233 delay: 96120
packet id 234 loss!!!
packet id 235 delay: 52680
packet id 236 delay: 86360
packet id 237 loss!!!
packet id 238 delay: 138240
packet id 239 delay: 50520
packet id 240 delay: 340640
packet id 241 delay: 439480
packet id 242 delay: 88680
packet id 243 delay: 50200
packet id 244 delay: 254720
packet id 245 delay: 95560
packet id 246 delay: 41520
packet id 247 delay: 134680
packet id 248 loss!!!
packet id 249 delay: 262480
packet id 250 delay: 506480
packet id 251 delay: 262080
packet id 252 delay: 2157200
packet id 253 delay: 138280
packet id 254 delay: 46520
packet id 255 delay: 40400
packet id 256 delay: 217080
