packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 loss!!!
packet id 008 loss!!!
packet id 009 loss!!!
packet id 010 loss!!!
packet id 011 loss!!!
packet id 012 loss!!!
packet id 013 loss!!!
packet id 014 loss!!!
packet id 015 loss!!!
packet id 016 delay: 110336
packet id 017 delay: 45336
packet id 018 delay: 68336
packet id 019 delay: 48336
packet id 020 delay: 39336
packet id 021 delay: 44336
packet id 022 delay: 95336
packet id 023 delay: 120336
packet id 024 delay: 28336
packet id 025 delay: 463856
packet id 026 delay: 45336
packet id 027 delay: 104336
packet id 028 delay: 118336
packet id 029 delay: 28336
packet id 030 delay: 44336
packet id 031 delay: 63336
packet id 032 delay: 80336
packet id 033 delay: 93336
packet id 034 delay: 78336
packet id 035 delay: 31336
packet id 036 delay: 71336
packet id 037 delay: 82336
packet id 038 delay: 121336
packet id 039 delay: 92336
packet id 040 delay: 106336
packet id 041 delay: 88336
packet id 042 delay: 60336
packet id 043 delay: 28336
packet id 044 delay: 51336
packet id 045 delay: 107336
packet id 046 delay: 53336
packet id 047 delay: 34336
packet id 048 delay: 115336
packet id 049 delay: 124336
packet id 050 delay: 86336
packet id 051 delay: 46336
packet id 052 delay: 115336
packet id 053 delay: 53336
packet id 054 delay: 28336
packet id 055 delay: 28336
packet id 056 delay: 98336
packet id 057 delay: 28336
packet id 058 delay: 59336
packet id 059 delay: 114336
packet id 060 delay: 95336
packet id 061 delay: 56336
packet id 062 delay: 43336
packet id 063 delay: 63336
packet id 064 delay: 66336
packet id 065 delay: 28336
packet id 066 delay: 28336
packet id 067 delay: 114336
packet id 068 delay: 54336
packet id 069 delay: 98336
packet id 070 delay: 77336
packet id 071 delay: 47336
packet id 072 delay: 114336
packet id 073 delay: 32336
packet id 074 delay: 28336
packet id 075 delay: 58336
packet id 076 delay: 127336
packet id 077 delay: 28336
packet id 078 delay: 56336
packet id 079 delay: 123336
packet id 080 delay: 28336
packet id 081 delay: 102336
packet id 082 delay: 77336
packet id 083 delay: 28336
packet id 084 delay: 65176
packet id 085 delay: 92856
packet id 086 delay: 83336
packet id 087 delay: 120496
packet id 088 delay: 56336
packet id 089 delay: 60336
packet id 090 delay: 88336
packet id 091 delay: 28336
packet id 092 delay: 44336
packet id 093 delay: 103336
packet id 094 delay: 49336
packet id 095 delay: 40336
packet id 096 delay: 48336
packet id 097 delay: 90336
packet id 098 delay: 119336
packet id 099 delay: 62336
packet id 100 delay: 28336
packet id 101 delay: 28336
packet id 102 delay: 47336
packet id 103 delay: 117336
packet id 104 delay: 28336
packet id 105 loss!!!
packet id 106 delay: 96336
packet id 107 delay: 28336
packet id 108 delay: 28336
packet id 109 delay: 36336
packet id 110 delay: 28336
packet id 111 delay: 69336
packet id 112 delay: 100336
packet id 113 delay: 76336
packet id 114 delay: 28336
packet id 115 delay: 118336
packet id 116 delay: 49336
packet id 117 delay: 39336
packet id 118 delay: 28336
packet id 119 delay: 53336
packet id 120 delay: 126336
packet id 121 delay: 34336
packet id 122 delay: 45856
packet id 123 delay: 33336
packet id 124 delay: 97336
packet id 125 delay: 127336
packet id 126 delay: 94336
packet id 127 delay: 73336
packet id 128 delay: 28336
packet id 129 delay: 60456
packet id 130 delay: 82336
packet id 131 delay: 28336
packet id 132 delay: 57336
packet id 133 delay: 28336
packet id 134 delay: 103336
packet id 135 delay: 104336
packet id 136 delay: 114496
packet id 137 loss!!!
packet id 138 delay: 79336
packet id 139 delay: 78336
packet id 140 delay: 34336
packet id 141 delay: 75096
packet id 142 delay: 49176
packet id 143 delay: 127176
packet id 144 delay: 61336
packet id 145 delay: 66336
packet id 146 delay: 101016
packet id 147 delay: 101336
packet id 148 delay: 98336
packet id 149 delay: 106336
packet id 150 delay: 114336
packet id 151 delay: 87336
packet id 152 delay: 84336
packet id 153 delay: 86536
packet id 154 delay: 62336
packet id 155 delay: 52336
packet id 156 delay: 28336
packet id 157 delay: 119336
packet id 158 delay: 45336
packet id 159 delay: 28336
packet id 160 delay: 64336
packet id 161 delay: 28336
packet id 162 delay: 58336
packet id 163 delay: 65336
packet id 164 delay: 34336
packet id 165 delay: 107336
packet id 166 delay: 28336
packet id 167 delay: 29336
packet id 168 delay: 58336
packet id 169 delay: 109336
packet id 170 delay: 47336
packet id 171 delay: 70336
packet id 172 delay: 110336
packet id 173 delay: 91176
packet id 174 delay: 118336
packet id 175 delay: 80336
packet id 176 delay: 97336
packet id 177 delay: 78336
packet id 178 delay: 36336
packet id 179 delay: 33336
packet id 180 delay: 50336
packet id 181 delay: 34336
packet id 182 delay: 98336
packet id 183 delay: 35336
packet id 184 delay: 81336
packet id 185 delay: 108336
packet id 186 delay: 50336
packet id 187 delay: 52336
packet id 188 delay: 57176
packet id 189 delay: 96336
packet id 190 delay: 28336
packet id 191 delay: 48336
packet id 192 delay: 95336
packet id 193 delay: 99336
packet id 194 delay: 28336
packet id 195 delay: 71976
packet id 196 delay: 125336
packet id 197 delay: 44336
packet id 198 delay: 112336
packet id 199 delay: 123336
packet id 200 delay: 28336
